time_utc_iso,VCU_ChrgSysOperCmd,IBS_BatteryDefect,IBS_Sulfation,IBS_EngineStart,IBS_PowerOn,IBS_LowVoltage,IBS_WakeupStatus,IBS_SOCUpperTolerance,IBS_SOCLowerTolerance,IBS_CapacityLossTop,IBS_CapacityLossBottom,IBS_BatteryCurrent,IBS_BatteryVoltage,IBS_BatteryTemperature,IBS_Error,IBS_CurrentAutorange,IBS_StateOfCharge,IBS_StateOfHealth,IBS_EstVoltaDrop,IBS_OptChargeVolt,IBS_AvgRi,IBS_AvailableCapacity,IBS_DischargeableAh,IBS_NominalCapacity,IBS_Recalibrated
2025-10-04 17:33:54+00:00,0,0,1,0,0,0,0,2,15,24,10,3.026,14.097,24,0,2,61,66,0,14.05,7.35,33,25.6,50,0
2025-10-04 17:33:55+00:00,0,0,1,0,0,0,0,2,15,24,10,3.029,14.095,24,0,2,61,66,0,14.05,7.35,33,25.6,50,0
2025-10-04 17:33:56+00:00,0,0,1,0,0,0,0,2,15,24,10,3.029,14.096,24,0,2,61,66,0,14.05,7.35,33,25.6,50,0
2025-10-04 17:33:57+00:00,0,0,1,0,0,0,0,2,15,24,10,3.03,14.098,24,0,2,61,66,0,14.05,7.35,33,25.6,50,0
2025-10-04 17:33:58+00:00,0,0,1,0,0,0,0,2,15,24,10,3.008,14.097,24,0,2,61,66,0,14.05,7.35,33,25.6,50,0
2025-10-04 17:33:59+00:00,0,0,1,0,0,0,0,2,15,24,10,3.012,14.097,24,0,2,61,66,0,14.05,7.35,33,25.6,50,0
2025-10-04 17:34:00+00:00,0,0,1,0,0,0,0,2,15,24,10,3.034,14.098,24,0,2,61,66,0,14.05,7.35,33,25.6,50,0
2025-10-04 17:34:01+00:00,0,0,1,0,0,0,0,2,15,24,10,3.032,14.099,24,0,2,61,66,0,14.05,7.35,33,25.6,50,0
2025-10-04 17:34:02+00:00,0,0,1,0,0,0,0,2,15,24,10,3.027,14.096,24,0,2,61,66,0,14.05,7.35,33,25.6,50,0
2025-10-04 17:34:03+00:00,0,0,1,0,0,0,0,2,15,24,10,2.983,14.097,24,0,2,61,66,0,14.05,7.35,33,25.6,50,0
2025-10-04 17:34:04+00:00,0,0,1,0,0,0,0,2,15,24,10,3.032,14.098,24,0,2,61,66,0,14.05,7.35,33,25.6,50,0
2025-10-04 17:34:05+00:00,0,0,1,0,0,0,0,2,15,24,10,3.006,14.098,24,0,2,61,66,0,14.05,7.35,33,25.6,50,0
2025-10-04 17:34:06+00:00,0,0,1,0,0,0,0,2,15,24,10,3.003,14.098,24,0,2,61,66,0,14.05,7.35,33,25.6,50,0
2025-10-04 17:34:07+00:00,0,0,1,0,0,0,0,2,15,24,10,3.004,14.098,24,0,2,61,66,0,14.05,7.35,33,25.6,50,0
2025-10-04 17:34:08+00:00,0,0,1,0,0,0,0,2,15,24,10,3.006,14.097,24,0,2,61,66,0,14.05,7.35,33,25.6,50,0
2025-10-04 17:34:09+00:00,0,0,1,0,0,0,0,2,15,24,10,3.004,14.097,24,0,2,61,66,0,14.05,7.35,33,25.6,50,0
2025-10-04 17:34:10+00:00,0,0,1,0,0,0,0,2,15,24,10,3.011,14.097,24,0,1,61,66,0,14.05,7.35,33,25.6,50,0
2025-10-04 17:34:11+00:00,0,0,1,0,0,0,0,2,15,24,10,3.009,14.097,24,0,2,61,66,0,14.05,7.35,33,25.6,50,0
