time_utc_iso,VCU_ChrgSysOperCmd,IBS_BatteryDefect,IBS_Sulfation,IBS_EngineStart,IBS_PowerOn,IBS_LowVoltage,IBS_WakeupStatus,IBS_SOCUpperTolerance,IBS_SOCLowerTolerance,IBS_CapacityLossTop,IBS_CapacityLossBottom,IBS_BatteryCurrent,IBS_BatteryVoltage,IBS_BatteryTemperature,IBS_Error,IBS_CurrentAutorange,IBS_StateOfCharge,IBS_StateOfHealth,IBS_EstVoltaDrop,IBS_OptChargeVolt,IBS_AvgRi,IBS_AvailableCapacity,IBS_DischargeableAh,IBS_NominalCapacity,IBS_Recalibrated
2025-10-04 18:33:38+00:00,0,0,1,0,0,0,0,2,15,24,10,10.811,14.067,26.5,0,2,61,66,0,14,7.35,33,25.6,50,0
2025-10-04 18:33:39+00:00,0,0,1,0,0,0,0,2,15,24,10,10.763,14.067,26.5,0,2,61,66,0,14,7.35,33,25.6,50,0
2025-10-04 18:33:40+00:00,0,0,1,0,0,0,0,2,15,24,10,10.732,14.067,26.5,0,2,61,66,0,14,7.35,33,25.6,50,0
2025-10-04 18:33:41+00:00,0,0,1,0,0,0,0,2,15,24,10,10.701,14.068,26.5,0,2,61,66,0,14,7.35,33,25.7,50,0
2025-10-04 18:33:42+00:00,0,0,1,0,0,0,0,2,15,24,10,10.673,14.069,26.5,0,2,61,66,0,14,7.35,33,25.7,50,0
2025-10-04 18:33:43+00:00,0,0,1,0,0,0,0,2,15,24,10,10.642,14.069,26.5,0,2,61,66,0,14,7.35,33,25.7,50,0
2025-10-04 18:33:44+00:00,0,0,1,0,0,0,0,2,15,24,10,10.606,14.069,26.5,0,2,61,66,0,14,7.35,33,25.7,50,0
2025-10-04 18:33:45+00:00,0,0,1,0,0,0,0,2,15,24,10,10.582,14.069,26.5,0,2,61,66,0,14,7.35,33,25.7,50,0
2025-10-04 18:33:46+00:00,0,0,1,0,0,0,0,2,15,24,10,10.557,14.07,26.5,0,2,61,66,0,14,7.35,33,25.7,50,0
2025-10-04 18:33:47+00:00,0,0,1,0,0,0,0,2,15,24,10,10.515,14.071,26.5,0,2,61,66,0,14,7.35,33,25.7,50,0
2025-10-04 18:33:48+00:00,0,0,1,0,0,0,0,2,15,24,10,10.488,14.068,26.5,0,2,61,66,0,14,7.35,33,25.7,50,0
2025-10-04 18:33:49+00:00,0,0,1,0,0,0,0,2,15,24,10,10.447,14.069,26.5,0,2,61,66,0,14,7.35,33,25.7,50,0
2025-10-04 18:33:50+00:00,0,0,1,0,0,0,0,2,15,24,10,10.399,14.068,26.5,0,2,61,66,0,14,7.35,33,25.7,50,0
2025-10-04 18:33:51+00:00,0,0,1,0,0,0,0,2,15,24,10,10.405,14.069,26.5,0,2,61,66,0,14,7.35,33,25.7,50,0
2025-10-04 18:33:52+00:00,0,0,1,0,0,0,0,2,15,24,10,10.359,14.069,26.5,0,2,61,66,0,14,7.35,33,25.7,50,0
2025-10-04 18:33:53+00:00,0,0,1,0,0,0,0,2,15,24,10,10.316,14.07,26.5,0,2,61,66,0,14,7.35,33,25.7,50,0
2025-10-04 18:33:54+00:00,0,0,1,0,0,0,0,2,15,24,10,10.299,14.07,26.5,0,2,61,66,0,14,7.35,33,25.7,50,0
2025-10-04 18:33:55+00:00,0,0,1,0,0,0,0,2,15,24,10,10.268,14.07,26.5,0,2,61,66,0,14,7.35,33,25.7,50,0
2025-10-04 18:33:56+00:00,0,0,1,0,0,0,0,2,15,24,10,10.234,14.071,26.5,0,2,61,66,0,14,7.35,33,25.7,50,0
2025-10-04 18:33:57+00:00,0,0,1,0,0,0,0,2,15,24,10,10.199,14.07,26.5,0,2,61,66,0,14,7.35,33,25.7,50,0
2025-10-04 18:33:58+00:00,0,0,1,0,0,0,0,2,15,24,10,10.181,14.071,26.5,0,2,61,66,0,14,7.35,33,25.7,50,0
2025-10-04 18:33:59+00:00,0,0,1,0,0,0,0,2,15,24,10,10.142,14.069,26.5,0,2,61,66,0,14,7.35,33,25.7,50,0
2025-10-04 18:34:00+00:00,0,0,1,0,0,0,0,2,15,24,10,10.117,14.071,26.5,0,2,61,66,0,14,7.35,33,25.7,50,0
2025-10-04 18:34:01+00:00,0,0,1,0,0,0,0,2,15,24,10,10.079,14.071,26.5,0,2,61,66,0,14,7.35,33,25.7,50,0
2025-10-04 18:34:02+00:00,0,0,1,0,0,0,0,2,15,24,10,10.064,14.069,26.5,0,2,61,66,0,14,7.35,33,25.7,50,0
