time_utc,IBS_BatteryDefect,IBS_Sulfation,IBS_EngineStart,IBS_PowerOn,IBS_LowVoltage,IBS_WakeupStatus,IBS_SOCUpperTolerance,IBS_SOCLowerTolerance,IBS_CapacityLossTop,IBS_CapacityLossBottom,IBS_BatteryCurrent,IBS_BatteryVoltage,IBS_BatteryTemperature,IBS_Error,IBS_CurrentAutorange,IBS_StateOfCharge,IBS_StateOfHealth,IBS_EstVoltaDrop,IBS_OptChargeVolt,IBS_AvgRi,IBS_AvailableCapacity,IBS_DischargeableAh,IBS_NominalCapacity,IBS_Recalibrated,VCU_ChrgSysOperCmd
2025-08-21 02:17:48+00:00,0,1,0,0,0,0,1,11,10,0,26.668,13.951,33.5,0,2,72.5,90,0,13.9,6.14,45,36.3,50,0,0
2025-08-21 02:17:49+00:00,0,1,0,0,0,0,1,11,10,0,26.7,13.952,33.5,0,2,72.5,90,0,13.9,6.14,45,36.3,50,0,0
2025-08-21 02:17:50+00:00,0,1,0,0,0,0,1,11,10,0,26.585,13.951,33.5,0,2,72.5,90,0,13.9,6.14,45,36.3,50,0,0
2025-08-21 02:17:51+00:00,0,1,0,0,0,0,1,11,10,0,26.555,13.951,33.5,0,2,72.5,90,0,13.9,6.14,45,36.4,50,0,0
2025-08-21 02:17:52+00:00,0,1,0,0,0,0,1,11,10,0,26.49,13.951,33.5,0,2,72.5,90,0,13.9,6.14,45,36.4,50,0,0
2025-08-21 02:17:53+00:00,0,1,0,0,0,0,1,11,10,0,26.453,13.951,33.5,0,2,72.5,90,0,13.9,6.14,45,36.4,50,0,0
2025-08-21 02:17:54+00:00,0,1,0,0,0,0,1,11,10,0,26.488,13.953,33.5,0,2,72.5,90,0,13.9,6.14,45,36.4,50,0,0
2025-08-21 02:17:55+00:00,0,1,0,0,0,0,1,11,10,0,26.424,13.953,33.5,0,2,72.5,90,0,13.9,6.14,45,36.4,50,0,0
2025-08-21 02:17:56+00:00,0,1,0,0,0,0,1,11,10,0,26.358,13.952,33.5,0,2,72.5,90,0,13.9,6.14,45,36.4,50,0,0
2025-08-21 02:17:57+00:00,0,1,0,0,0,0,1,11,10,0,26.277,13.952,33.5,0,2,72.5,90,0,13.9,6.14,45,36.4,50,0,0
2025-08-21 02:17:58+00:00,0,1,0,0,0,0,1,11,10,0,26.237,13.952,33.5,0,2,72.5,90,0,13.9,6.14,45,36.4,50,0,0
2025-08-21 02:17:59+00:00,0,1,0,0,0,0,1,11,10,0,26.186,13.953,33.5,0,2,72.5,90,0,13.9,6.14,45,36.4,50,0,0
2025-08-21 02:18:00+00:00,0,1,0,0,0,0,1,11,10,0,26.141,13.952,33.5,0,2,72.5,90,0,13.9,6.14,45,36.4,50,0,0
2025-08-21 02:18:01+00:00,0,1,0,0,0,0,1,11,10,0,26.112,13.954,33.5,0,2,72.5,90,0,13.9,6.14,45,36.4,50,0,0
2025-08-21 02:18:02+00:00,0,1,0,0,0,0,1,11,10,0,26.09,13.954,33.5,0,2,72.5,90,0,13.9,6.14,45,36.4,50,0,0
2025-08-21 02:18:03+00:00,0,1,0,0,0,0,1,11,10,0,26.009,13.954,33.5,0,2,72.5,90,0,13.9,6.14,45,36.4,50,0,0
2025-08-21 02:18:04+00:00,0,1,0,0,0,0,1,11,10,0,25.99,13.955,33.5,0,2,72.5,90,0,13.9,6.14,45,36.4,50,0,0
2025-08-21 02:18:05+00:00,0,1,0,0,0,0,1,11,10,0,25.981,13.956,33.5,0,2,73.0,90,0,13.9,6.14,45,36.5,50,0,0
2025-08-21 02:18:06+00:00,0,1,0,0,0,0,1,11,10,0,25.897,13.956,33.5,0,2,73.0,90,0,13.9,6.14,45,36.5,50,0,0
2025-08-21 02:18:07+00:00,0,1,0,0,0,0,1,11,10,0,25.863,13.956,33.5,0,2,73.0,90,0,13.9,6.14,45,36.5,50,0,0
2025-08-21 02:18:08+00:00,0,1,0,0,0,0,1,11,10,0,25.81,13.956,33.5,0,2,73.0,90,0,13.9,6.14,45,36.5,50,0,0
2025-08-21 02:18:09+00:00,0,1,0,0,0,0,1,11,10,0,25.743,13.957,33.5,0,2,73.0,90,0,13.9,6.14,45,36.5,50,0,0
2025-08-21 02:18:10+00:00,0,1,0,0,0,0,1,11,10,0,25.666,13.956,33.5,0,2,73.0,90,0,13.9,6.14,45,36.5,50,0,0
2025-08-21 02:18:11+00:00,0,1,0,0,0,0,1,11,10,0,25.568,13.954,33.5,0,2,73.0,90,0,13.9,6.14,45,36.5,50,0,0
2025-08-21 02:18:12+00:00,0,1,0,0,0,0,1,11,10,0,25.722,13.96,33.5,0,2,73.0,90,0,13.9,6.14,45,36.5,50,0,0
2025-08-21 02:18:13+00:00,0,1,0,0,0,0,1,11,10,0,25.675,13.962,33.5,0,2,73.0,90,0,13.9,6.14,45,36.5,50,0,0
2025-08-21 02:18:14+00:00,0,1,0,0,0,0,1,11,10,0,25.699,13.965,33.5,0,2,73.0,90,0,13.9,6.14,45,36.5,50,0,0
2025-08-21 02:18:15+00:00,0,1,0,0,0,0,1,11,10,0,25.657,13.966,33.5,0,2,73.0,90,0,13.9,6.14,45,36.5,50,0,0
2025-08-21 02:18:16+00:00,0,1,0,0,0,0,1,11,10,0,25.499,13.963,33.5,0,2,73.0,90,0,13.9,6.14,45,36.5,50,0,0
2025-08-21 02:18:17+00:00,0,1,0,0,0,0,1,11,10,0,25.456,13.964,33.5,0,2,73.0,90,0,13.9,6.14,45,36.5,50,0,0
2025-08-21 02:18:18+00:00,0,1,0,0,0,0,1,11,10,0,25.424,13.964,33.5,0,2,73.0,90,0,13.9,6.14,45,36.5,50,0,0
2025-08-21 02:18:19+00:00,0,1,0,0,0,0,1,11,10,0,25.338,13.963,33.5,0,2,73.0,90,0,13.9,6.14,45,36.6,50,0,0
2025-08-21 02:18:20+00:00,0,1,0,0,0,0,1,11,10,0,25.318,13.965,33.5,0,2,73.0,90,0,13.9,6.14,45,36.6,50,0,0
2025-08-21 02:18:21+00:00,0,1,0,0,0,0,1,11,10,0,25.246,13.964,33.5,0,2,73.0,90,0,13.9,6.14,45,36.6,50,0,0
2025-08-21 02:18:22+00:00,0,1,0,0,0,0,1,11,10,0,25.206,13.965,33.5,0,2,73.0,90,0,13.9,6.14,45,36.6,50,0,0
2025-08-21 02:18:23+00:00,0,1,0,0,0,0,1,11,10,0,25.134,13.964,33.5,0,2,73.0,90,0,13.9,6.14,45,36.6,50,0,0
2025-08-21 02:18:24+00:00,0,1,0,0,0,0,1,11,10,0,25.026,13.964,33.5,0,2,73.0,90,0,13.9,6.14,45,36.6,50,0,0
2025-08-21 02:18:25+00:00,0,1,0,0,0,0,1,11,10,0,24.848,13.96,33.5,0,2,73.0,90,0,13.9,6.14,45,36.6,50,0,0
2025-08-21 02:18:26+00:00,0,1,0,0,0,0,1,11,10,0,24.985,13.964,33.5,0,2,73.0,90,0,13.9,6.14,45,36.6,50,0,0
2025-08-21 02:18:27+00:00,0,1,0,0,0,0,1,11,10,0,24.909,13.965,33.5,0,2,73.0,90,0,13.9,6.14,45,36.6,50,0,0
2025-08-21 02:18:28+00:00,0,1,0,0,0,0,1,11,10,0,24.863,13.965,33.5,0,2,73.0,90,0,13.9,6.14,45,36.6,50,0,0
2025-08-21 02:18:29+00:00,0,1,0,0,0,0,1,11,10,0,24.77,13.965,33.5,0,2,73.0,90,0,13.9,6.14,45,36.6,50,0,0
2025-08-21 02:18:30+00:00,0,1,0,0,0,0,1,11,10,0,24.722,13.965,33.5,0,2,73.0,90,0,13.9,6.14,45,36.6,50,0,0
2025-08-21 02:18:31+00:00,0,1,0,0,0,0,1,11,10,0,24.637,13.964,33.5,0,2,73.0,90,0,13.9,6.14,45,36.6,50,0,0
2025-08-21 02:18:32+00:00,0,1,0,0,0,0,1,11,10,0,24.597,13.964,33.5,0,2,73.0,90,0,13.9,6.14,45,36.6,50,0,0
2025-08-21 02:18:33+00:00,0,1,0,0,0,0,1,11,10,0,24.569,13.966,33.5,0,2,73.0,90,0,13.9,6.14,45,36.7,50,0,0
2025-08-21 02:18:34+00:00,0,1,0,0,0,0,1,11,10,0,24.536,13.966,33.5,0,2,73.0,90,0,13.9,6.14,45,36.7,50,0,0
2025-08-21 02:18:35+00:00,0,1,0,0,0,0,1,11,10,0,24.45,13.966,33.5,0,2,73.0,90,0,13.9,6.14,45,36.7,50,0,0
2025-08-21 02:18:36+00:00,0,1,0,0,0,0,1,11,10,0,24.349,13.965,33.5,0,2,73.0,90,0,13.9,6.14,45,36.7,50,0,0
2025-08-21 02:18:37+00:00,0,1,0,0,0,0,1,11,10,0,24.273,13.962,33.5,0,2,73.0,90,0,13.9,6.14,45,36.7,50,0,0
2025-08-21 02:18:38+00:00,0,1,0,0,0,0,1,11,10,0,24.185,13.962,33.5,0,2,73.0,90,0,13.9,6.14,45,36.7,50,0,0
2025-08-21 02:18:39+00:00,0,1,0,0,0,0,1,11,10,0,24.139,13.962,33.5,0,2,73.0,90,0,13.9,6.14,45,36.7,50,0,0
2025-08-21 02:18:40+00:00,0,1,0,0,0,0,1,11,10,0,24.099,13.962,33.5,0,2,73.0,90,0,13.9,6.14,45,36.7,50,0,0
2025-08-21 02:18:41+00:00,0,1,0,0,0,0,1,11,10,0,24.117,13.965,33.5,0,2,73.0,90,0,13.9,6.14,45,36.7,50,0,0
2025-08-21 02:18:42+00:00,0,1,0,0,0,0,1,11,10,0,24.077,13.966,33.5,0,2,73.0,90,0,13.9,6.14,45,36.7,50,0,0
2025-08-21 02:18:43+00:00,0,1,0,0,0,0,1,11,10,0,24.013,13.967,33.5,0,2,73.0,90,0,13.9,6.14,45,36.7,50,0,0
2025-08-21 02:18:44+00:00,0,1,0,0,0,0,1,11,10,0,23.961,13.967,33.5,0,2,73.0,90,0,13.9,6.14,45,36.7,50,0,0
2025-08-21 02:18:45+00:00,0,1,0,0,0,0,1,11,10,0,23.868,13.967,33.5,0,2,73.0,90,0,13.9,6.14,45,36.7,50,0,0
2025-08-21 02:18:46+00:00,0,1,0,0,0,0,1,11,10,0,23.871,13.969,33.5,0,2,73.0,90,0,13.9,6.14,45,36.7,50,0,0
2025-08-21 02:18:47+00:00,0,1,0,0,0,0,1,11,10,0,23.777,13.968,33.5,0,2,73.0,90,0,13.9,6.14,45,36.7,50,0,0
2025-08-21 02:18:48+00:00,0,1,0,0,0,0,1,11,10,0,23.726,13.968,33.5,0,2,73.5,90,0,13.9,6.14,45,36.8,50,0,0
2025-08-21 02:18:49+00:00,0,1,0,0,0,0,1,11,10,0,23.692,13.97,33.5,0,2,73.5,90,0,13.9,6.14,45,36.8,50,0,0
2025-08-21 02:18:50+00:00,0,1,0,0,0,0,1,11,10,0,23.28,13.956,33.5,0,2,73.5,90,0,13.9,6.14,45,36.8,50,0,0
2025-08-21 02:18:51+00:00,0,1,0,0,0,0,1,11,10,0,23.502,13.964,33.5,0,2,73.5,90,0,13.9,6.14,45,36.8,50,0,0
2025-08-21 02:18:52+00:00,0,1,0,0,0,0,1,11,10,0,23.362,13.962,33.5,0,2,73.5,90,0,13.9,6.14,45,36.8,50,0,0
2025-08-21 02:18:53+00:00,0,1,0,0,0,0,1,11,10,0,23.379,13.966,33.5,0,2,73.5,90,0,13.9,6.14,45,36.8,50,0,0
2025-08-21 02:18:54+00:00,0,1,0,0,0,0,1,11,10,0,23.309,13.965,33.5,0,2,73.5,90,0,13.9,6.14,45,36.8,50,0,0
2025-08-21 02:18:55+00:00,0,1,0,0,0,0,1,11,10,0,23.234,13.965,33.5,0,2,73.5,90,0,13.9,6.14,45,36.8,50,0,0
2025-08-21 02:18:56+00:00,0,1,0,0,0,0,1,11,10,0,23.21,13.965,33.5,0,2,73.5,90,0,13.9,6.14,45,36.8,50,0,0
2025-08-21 02:18:57+00:00,0,1,0,0,0,0,1,11,10,0,23.158,13.966,33.5,0,2,73.5,90,0,13.9,6.14,45,36.8,50,0,0
2025-08-21 02:18:58+00:00,0,1,0,0,0,0,1,11,10,0,23.082,13.965,33.5,0,2,73.5,90,0,13.9,6.14,45,36.8,50,0,0
2025-08-21 02:18:59+00:00,0,1,0,0,0,0,1,11,10,0,23.0,13.965,33.5,0,2,73.5,90,0,13.9,6.14,45,36.8,50,0,0
2025-08-21 02:19:00+00:00,0,1,0,0,0,0,1,11,10,0,22.948,13.965,33.5,0,2,73.5,90,0,13.9,6.14,45,36.8,50,0,0
2025-08-21 02:19:01+00:00,0,1,0,0,0,0,1,11,10,0,-9.016,13.508,33.5,0,2,73.5,90,0,13.9,6.14,45,36.8,50,0,0
2025-08-21 02:19:02+00:00,0,1,0,0,0,0,1,11,10,0,-17.134,13.147,33.5,0,2,73.5,90,0,13.9,6.14,45,36.8,50,0,0
2025-08-21 02:19:03+00:00,0,1,0,0,0,0,1,11,10,0,-17.113,13.033,33.5,0,2,73.5,90,0,13.9,6.14,45,36.8,50,0,0
2025-08-21 02:19:04+00:00,0,1,0,0,0,0,1,11,10,0,-16.832,12.947,33.5,0,2,73.5,90,0,13.9,6.14,45,36.8,50,0,0
2025-08-21 02:19:05+00:00,0,1,0,0,0,0,1,11,10,0,-16.724,12.886,33.5,0,2,73.5,90,0,13.9,6.14,45,36.8,50,0,0
2025-08-21 02:19:06+00:00,0,1,0,0,0,0,1,11,10,0,-17.154,12.834,33.5,0,2,73.5,90,0,13.9,6.14,45,36.8,50,0,1
2025-08-21 02:19:07+00:00,0,1,0,0,0,0,1,11,10,0,-17.245,12.8,33.5,0,2,73.5,90,0,13.9,6.14,45,36.8,50,0,1
2025-08-21 02:19:08+00:00,0,1,0,0,0,0,1,11,10,0,-17.081,12.777,33.5,0,2,73.5,90,0,13.9,6.14,45,36.8,50,0,1
2025-08-21 02:19:09+00:00,0,1,0,0,0,0,1,11,10,0,-15.318,12.776,33.5,0,2,73.5,90,0,13.9,6.14,45,36.8,50,0,1
2025-08-21 02:19:10+00:00,0,1,0,0,0,0,1,11,10,0,-14.829,12.773,33.5,0,2,73.5,90,0,13.9,6.14,45,36.8,50,0,1
2025-08-21 02:19:11+00:00,0,1,0,0,0,0,1,11,10,0,-14.81,12.763,33.5,0,2,73.5,90,0,13.9,6.14,45,36.8,50,0,1
2025-08-21 02:19:12+00:00,0,1,0,0,0,0,1,11,10,0,-17.003,12.733,33.5,0,2,73.5,90,0,13.9,6.14,45,36.8,50,0,1
2025-08-21 02:19:13+00:00,0,1,0,0,0,0,1,11,10,0,-15.705,12.73,33.5,0,2,73.5,90,0,13.9,6.14,45,36.8,50,0,0
2025-08-21 02:19:14+00:00,0,1,0,0,0,0,1,11,10,0,-16.815,12.711,33.5,0,2,73.5,90,0,13.9,6.14,45,36.8,50,0,0
2025-08-21 02:19:15+00:00,0,1,0,0,0,0,1,11,10,0,-17.277,12.696,33.5,0,2,73.5,90,0,13.9,6.14,45,36.8,50,0,0
2025-08-21 02:19:16+00:00,0,1,0,0,0,0,1,11,10,0,-17.8,12.683,33.5,0,2,73.5,90,0,13.9,6.14,45,36.8,50,0,0
2025-08-21 02:19:17+00:00,0,1,0,0,0,0,1,11,10,0,-17.956,12.673,33.5,0,2,73.5,90,0,13.9,6.14,45,36.8,50,0,0
2025-08-21 02:19:18+00:00,0,1,0,0,0,0,1,11,10,0,-16.643,12.684,33.5,0,2,73.5,90,0,13.9,6.14,45,36.8,50,0,0
2025-08-21 02:19:19+00:00,0,1,0,0,0,0,1,11,10,0,-16.416,12.671,33.5,0,2,73.5,90,0,13.9,6.14,45,36.8,50,0,0
2025-08-21 02:19:20+00:00,0,1,0,0,0,0,1,11,10,0,-14.576,12.694,33.5,0,2,73.5,90,0,13.9,6.14,45,36.8,50,0,0
2025-08-21 02:19:21+00:00,0,1,0,0,0,0,1,11,10,0,-14.565,12.694,33.5,0,2,73.5,90,0,13.9,6.14,45,36.8,50,0,0
2025-08-21 02:19:22+00:00,0,1,0,0,0,0,1,11,10,0,-14.485,12.693,33.5,0,2,73.5,90,0,13.9,6.14,45,36.8,50,0,0
2025-08-21 02:19:23+00:00,0,1,0,0,0,0,1,11,10,0,-23.154,12.582,33.5,0,2,73.5,90,0,13.9,6.14,45,36.8,50,0,0
2025-08-21 02:19:24+00:00,0,1,0,0,0,0,1,11,10,0,-14.289,12.677,33.5,0,2,73.5,90,0,13.9,6.14,45,36.8,50,0,0
2025-08-21 02:19:25+00:00,0,1,0,0,0,0,1,11,10,0,-14.251,12.681,33.5,0,2,73.5,90,0,13.9,6.14,45,36.8,50,0,0
2025-08-21 02:19:26+00:00,0,1,0,0,0,0,1,11,10,0,-14.249,12.68,33.5,0,2,73.5,90,0,13.9,6.14,45,36.8,50,0,0
2025-08-21 02:19:27+00:00,0,1,0,0,0,0,1,11,10,0,-16.13,12.656,33.5,0,2,73.5,90,0,13.9,6.14,45,36.8,50,0,0
2025-08-21 02:19:28+00:00,0,1,0,0,0,0,1,11,10,0,-16.426,12.648,33.5,0,2,73.5,90,0,13.9,6.14,45,36.8,50,0,0
2025-08-21 02:19:29+00:00,0,1,0,0,0,0,1,11,10,0,-16.45,12.642,33.5,0,2,73.5,90,0,13.9,6.14,45,36.8,50,0,0
2025-08-21 02:19:30+00:00,0,1,0,0,0,0,1,11,10,0,-16.287,12.64,33.5,0,2,73.5,90,0,13.9,6.14,45,36.8,50,0,0
2025-08-21 02:19:31+00:00,0,1,0,0,0,0,1,11,10,0,-14.889,12.651,33.5,0,2,73.5,90,0,13.9,6.14,45,36.8,50,0,0
2025-08-21 02:19:32+00:00,0,1,0,0,0,0,1,11,10,0,-14.267,12.659,33.5,0,2,73.5,90,0,13.9,6.14,45,36.8,50,0,0
2025-08-21 02:19:33+00:00,0,1,0,0,0,0,1,11,10,0,-14.631,12.655,33.5,0,2,73.5,90,0,13.9,6.14,45,36.8,50,0,0
2025-08-21 02:19:34+00:00,0,1,0,0,0,0,1,11,10,0,-14.319,12.656,33.5,0,2,73.5,90,0,13.9,6.14,45,36.8,50,0,0
2025-08-21 02:19:35+00:00,0,1,0,0,0,0,1,11,10,0,-14.304,12.654,33.5,0,2,73.5,90,0,13.9,6.14,45,36.8,50,0,0
2025-08-21 02:19:36+00:00,0,1,0,0,0,0,1,11,10,0,-14.288,12.652,33.5,0,2,73.5,90,0,13.9,6.14,45,36.8,50,0,0
2025-08-21 02:19:37+00:00,0,1,0,0,0,0,1,11,10,0,-14.285,12.65,33.5,0,2,73.5,90,0,13.9,6.14,45,36.8,50,0,0
2025-08-21 02:19:38+00:00,0,1,0,0,0,0,1,11,10,0,-14.28,12.648,33.5,0,2,73.5,90,0,13.9,6.14,45,36.8,50,0,0
2025-08-21 02:19:39+00:00,0,1,0,0,0,0,1,11,10,0,-14.259,12.646,33.5,0,2,73.5,90,0,13.9,6.14,45,36.8,50,0,0
2025-08-21 02:19:40+00:00,0,1,0,0,0,0,1,11,10,0,-14.361,12.643,33.5,0,2,73.5,90,0,13.9,6.14,45,36.8,50,0,0
2025-08-21 02:19:41+00:00,0,1,0,0,0,0,1,11,10,0,-14.299,12.641,33.5,0,2,73.5,90,0,13.9,6.14,45,36.8,50,0,0
2025-08-21 02:19:42+00:00,0,1,0,0,0,0,1,11,10,0,-14.314,12.639,33.5,0,2,73.5,90,0,13.9,6.14,45,36.8,50,0,0
2025-08-21 02:19:43+00:00,0,1,0,0,0,0,1,11,10,0,-14.317,12.637,33.5,0,2,73.5,90,0,13.9,6.14,45,36.8,50,0,0
2025-08-21 02:19:44+00:00,0,1,0,0,0,0,1,11,10,0,-14.395,12.634,33.5,0,2,73.0,90,0,13.9,6.14,45,36.7,50,0,0
2025-08-21 02:19:45+00:00,0,1,0,0,0,0,1,11,10,0,-14.347,12.632,33.5,0,2,73.0,90,0,13.9,6.14,45,36.7,50,0,0
2025-08-21 02:19:46+00:00,0,1,0,0,0,0,1,11,10,0,-14.353,12.63,33.5,0,2,73.0,90,0,13.9,6.14,45,36.7,50,0,0
2025-08-21 02:19:47+00:00,0,1,0,0,0,0,1,11,10,0,-14.331,12.629,33.5,0,2,73.0,90,0,13.9,6.14,45,36.7,50,0,0
2025-08-21 02:19:48+00:00,0,1,0,0,0,0,1,11,10,0,-23.222,12.545,33.5,0,2,73.0,90,0,13.9,6.14,45,36.7,50,0,0
2025-08-21 02:19:49+00:00,0,1,0,0,0,0,1,11,10,0,-29.492,12.448,33.5,0,2,73.0,90,0,13.9,6.14,45,36.7,50,0,0
2025-08-21 02:19:50+00:00,0,1,0,0,0,0,1,11,10,0,-31.616,12.414,33.5,0,2,73.0,90,0,13.9,6.14,45,36.7,50,0,0
2025-08-21 02:19:51+00:00,0,1,0,0,0,0,1,11,10,0,-28.701,12.435,33.5,0,2,73.0,90,0,13.9,6.14,45,36.7,50,0,0
2025-08-21 02:19:52+00:00,0,1,0,0,0,0,1,11,10,0,-29.771,12.422,33.5,0,2,73.0,90,0,13.9,6.14,45,36.7,50,0,1
2025-08-21 02:19:53+00:00,0,1,0,0,0,0,1,11,10,0,-30.992,12.405,33.5,0,2,73.0,90,0,13.9,6.14,45,36.7,50,0,1
2025-08-21 02:19:54+00:00,0,1,0,0,0,0,1,11,10,0,-30.917,12.402,33.5,0,2,73.0,90,0,13.9,6.14,45,36.7,50,0,1
2025-08-21 02:19:55+00:00,0,1,0,0,0,0,1,11,10,0,-27.966,12.428,33.5,0,2,73.0,90,0,13.9,6.14,45,36.7,50,0,1
2025-08-21 02:19:56+00:00,0,1,0,0,0,0,1,11,10,0,-26.951,12.438,33.5,0,2,73.0,90,0,13.9,6.14,45,36.7,50,0,1
2025-08-21 02:19:57+00:00,0,1,0,0,0,0,1,11,10,0,-26.899,12.438,33.5,0,2,73.0,90,0,13.9,6.14,45,36.7,50,0,1
2025-08-21 02:19:58+00:00,0,1,0,0,0,0,1,11,10,0,-26.934,12.436,33.5,0,2,73.0,90,0,13.9,6.14,45,36.6,50,0,1
2025-08-21 02:19:59+00:00,0,1,0,0,0,0,1,11,10,0,-26.939,12.434,33.5,0,2,73.0,90,0,13.9,6.14,45,36.6,50,0,1
2025-08-21 02:20:00+00:00,0,1,0,0,0,0,1,11,10,0,-26.893,12.431,33.5,0,2,73.0,90,0,13.9,6.14,45,36.6,50,0,1
