time_utc_iso,VCU_ChrgSysOperCmd,IBS_BatteryDefect,IBS_Sulfation,IBS_EngineStart,IBS_PowerOn,IBS_LowVoltage,IBS_WakeupStatus,IBS_SOCUpperTolerance,IBS_SOCLowerTolerance,IBS_CapacityLossTop,IBS_CapacityLossBottom,IBS_BatteryCurrent,IBS_BatteryVoltage,IBS_BatteryTemperature,IBS_Error,IBS_CurrentAutorange,IBS_StateOfCharge,IBS_StateOfHealth,IBS_EstVoltaDrop,IBS_OptChargeVolt,IBS_AvgRi,IBS_AvailableCapacity,IBS_DischargeableAh,IBS_NominalCapacity,IBS_Recalibrated
2025-10-04 18:11:15+00:00,0,0,1,0,0,0,0,2,15,24,10,2.14,14.099,25.5,0,2,62.5,66,0,14,7.35,33,26.3,50,0
2025-10-04 18:11:16+00:00,0,0,1,0,0,0,0,2,15,24,10,2.15,14.101,25.5,0,2,62.5,66,0,14,7.35,33,26.3,50,0
2025-10-04 18:11:17+00:00,0,0,1,0,0,0,0,2,15,24,10,2.141,14.101,25.5,0,1,62.5,66,0,14,7.35,33,26.3,50,0
2025-10-04 18:11:18+00:00,0,0,1,0,0,0,0,2,15,24,10,2.169,14.102,25.5,0,2,62.5,66,0,14,7.35,33,26.3,50,0
2025-10-04 18:11:19+00:00,0,0,1,0,0,0,0,2,15,24,10,2.161,14.1,25.5,0,2,62.5,66,0,14,7.35,33,26.3,50,0
2025-10-04 18:11:20+00:00,0,0,1,0,0,0,0,2,15,24,10,2.15,14.105,25.5,0,1,62.5,66,0,14,7.35,33,26.3,50,0
2025-10-04 18:11:21+00:00,0,0,1,0,0,0,0,2,15,24,10,2.162,14.103,25.5,0,1,62.5,66,0,14,7.35,33,26.3,50,0
2025-10-04 18:11:22+00:00,0,0,1,0,0,0,0,2,15,24,10,2.146,14.104,25.5,0,2,62.5,66,0,14,7.35,33,26.3,50,0
2025-10-04 18:11:23+00:00,0,0,1,0,0,0,0,2,15,24,10,2.164,14.101,25.5,0,1,62.5,66,0,14,7.35,33,26.3,50,0
2025-10-04 18:11:24+00:00,0,0,1,0,0,0,0,2,15,24,10,2.156,14.103,25.5,0,2,62.5,66,0,14,7.35,33,26.3,50,0
2025-10-04 18:11:25+00:00,0,0,1,0,0,0,0,2,15,24,10,2.128,14.1,25.5,0,2,62.5,66,0,14,7.35,33,26.3,50,0
2025-10-04 18:11:26+00:00,0,0,1,0,0,0,0,2,15,24,10,2.147,14.102,25.5,0,1,62.5,66,0,14,7.35,33,26.3,50,0
2025-10-04 18:11:27+00:00,0,0,1,0,0,0,0,2,15,24,10,2.149,14.102,25.5,0,2,62.5,66,0,14,7.35,33,26.3,50,0
2025-10-04 18:11:28+00:00,0,0,1,0,0,0,0,2,15,24,10,2.146,14.101,25.5,0,2,62.5,66,0,14,7.35,33,26.3,50,0
2025-10-04 18:11:29+00:00,0,0,1,0,0,0,0,2,15,24,10,2.144,14.099,25.5,0,1,62.5,66,0,14,7.35,33,26.3,50,0
2025-10-04 18:11:30+00:00,0,0,1,0,0,0,0,2,15,24,10,2.143,14.103,25.5,0,2,62.5,66,0,14,7.35,33,26.3,50,0
2025-10-04 18:11:31+00:00,0,0,1,0,0,0,0,2,15,24,10,2.126,14.104,25.5,0,2,62.5,66,0,14,7.35,33,26.3,50,0
2025-10-04 18:11:32+00:00,0,0,1,0,0,0,0,2,15,24,10,2.154,14.104,25.5,0,2,62.5,66,0,14,7.35,33,26.3,50,0
2025-10-04 18:11:33+00:00,0,0,1,0,0,0,0,2,15,24,10,2.138,14.103,25.5,0,2,62.5,66,0,14,7.35,33,26.3,50,0
2025-10-04 18:11:34+00:00,0,0,1,0,0,0,0,2,15,24,10,2.129,14.102,25.5,0,2,62.5,66,0,14,7.35,33,26.3,50,0
2025-10-04 18:11:35+00:00,0,0,1,0,0,0,0,2,15,24,10,2.124,14.103,25.5,0,2,62.5,66,0,14,7.35,33,26.3,50,0
2025-10-04 18:11:36+00:00,0,0,1,0,0,0,0,2,15,24,10,2.13,14.103,25.5,0,2,62.5,66,0,14,7.35,33,26.3,50,0
2025-10-04 18:11:37+00:00,0,0,1,0,0,0,0,2,15,24,10,2.138,14.104,25.5,0,2,62.5,66,0,14,7.35,33,26.3,50,0
2025-10-04 18:11:38+00:00,0,0,1,0,0,0,0,2,15,24,10,2.154,14.105,25.5,0,2,62.5,66,0,14,7.35,33,26.3,50,0
