time_utc_iso,VCU_ChrgSysOperCmd,IBS_BatteryDefect,IBS_Sulfation,IBS_EngineStart,IBS_PowerOn,IBS_LowVoltage,IBS_WakeupStatus,IBS_SOCUpperTolerance,IBS_SOCLowerTolerance,IBS_CapacityLossTop,IBS_CapacityLossBottom,IBS_BatteryCurrent,IBS_BatteryVoltage,IBS_BatteryTemperature,IBS_Error,IBS_CurrentAutorange,IBS_StateOfCharge,IBS_StateOfHealth,IBS_EstVoltaDrop,IBS_OptChargeVolt,IBS_AvgRi,IBS_AvailableCapacity,IBS_DischargeableAh,IBS_NominalCapacity,IBS_Recalibrated
2025-10-04 18:50:29+00:00,0,0,1,0,0,0,0,2,15,24,10,2.085,14.109,27,0,2,63.5,66,0,14,7.35,33,26.8,50,0
2025-10-04 18:50:30+00:00,0,0,1,0,0,0,0,2,15,24,10,2.089,14.109,27,0,2,63.5,66,0,14,7.35,33,26.8,50,0
2025-10-04 18:50:31+00:00,0,0,1,0,0,0,0,2,15,24,10,2.088,14.106,27,0,2,63.5,66,0,14,7.35,33,26.8,50,0
2025-10-04 18:50:32+00:00,0,0,1,0,0,0,0,2,15,24,10,2.087,14.107,27,0,2,63.5,66,0,14,7.35,33,26.8,50,0
2025-10-04 18:50:33+00:00,0,0,1,0,0,0,0,2,15,24,10,2.08,14.108,27,0,1,63.5,66,0,14,7.35,33,26.8,50,0
2025-10-04 18:50:34+00:00,0,0,1,0,0,0,0,2,15,24,10,2.089,14.11,27,0,2,63.5,66,0,14,7.35,33,26.8,50,0
2025-10-04 18:50:35+00:00,0,0,1,0,0,0,0,2,15,24,10,2.079,14.109,27,0,2,63.5,66,0,14,7.35,33,26.8,50,0
2025-10-04 18:50:36+00:00,0,0,1,0,0,0,0,2,15,24,10,2.103,14.106,27,0,2,63.5,66,0,14,7.35,33,26.8,50,0
2025-10-04 18:50:37+00:00,0,0,1,0,0,0,0,2,15,24,10,2.075,14.108,27,0,2,63.5,66,0,14,7.35,33,26.8,50,0
2025-10-04 18:50:38+00:00,0,0,1,0,0,0,0,2,15,24,10,2.068,14.106,27,0,2,63.5,66,0,14,7.35,33,26.8,50,0
2025-10-04 18:50:39+00:00,0,0,1,0,0,0,0,2,15,24,10,2.068,14.107,27,0,2,63.5,66,0,14,7.35,33,26.8,50,0
2025-10-04 18:50:40+00:00,0,0,1,0,0,0,0,2,15,24,10,2.076,14.108,27,0,2,63.5,66,0,14,7.35,33,26.8,50,0
2025-10-04 18:50:41+00:00,0,0,1,0,0,0,0,2,15,24,10,2.074,14.108,27,0,1,63.5,66,0,14,7.35,33,26.8,50,0
2025-10-04 18:50:42+00:00,0,0,1,0,0,0,0,2,15,24,10,2.075,14.106,27,0,2,63.5,66,0,14,7.35,33,26.8,50,0
2025-10-04 18:50:43+00:00,0,0,1,0,0,0,0,2,15,24,10,2.048,14.104,27,0,2,63.5,66,0,14,7.35,33,26.8,50,0
2025-10-04 18:50:44+00:00,0,0,1,0,0,0,0,2,15,24,10,2.074,14.105,27,0,1,63.5,66,0,14,7.35,33,26.8,50,0
2025-10-04 18:50:45+00:00,0,0,1,0,0,0,0,2,15,24,10,2.083,14.104,27,0,2,63.5,66,0,14,7.35,33,26.8,50,0
2025-10-04 18:50:46+00:00,0,0,1,0,0,0,0,2,15,24,10,2.076,14.106,27,0,2,63.5,66,0,14,7.35,33,26.8,50,0
2025-10-04 18:50:47+00:00,0,0,1,0,0,0,0,2,15,24,10,2.082,14.109,27,0,2,63.5,66,0,14,7.35,33,26.8,50,0
2025-10-04 18:50:48+00:00,0,0,1,0,0,0,0,2,15,24,10,2.085,14.106,27,0,1,63.5,66,0,14,7.35,33,26.8,50,0
2025-10-04 18:50:49+00:00,0,0,1,0,0,0,0,2,15,24,10,2.079,14.105,27,0,2,63.5,66,0,14,7.35,33,26.8,50,0
2025-10-04 18:50:50+00:00,0,0,1,0,0,0,0,2,15,24,10,2.066,14.106,27,0,2,63.5,66,0,14,7.35,33,26.8,50,0
2025-10-04 18:50:51+00:00,0,0,1,0,0,0,0,2,15,24,10,2.056,14.109,27,0,2,63.5,66,0,14,7.35,33,26.8,50,0
2025-10-04 18:50:52+00:00,0,0,1,0,0,0,0,2,15,24,10,2.045,14.107,27,0,2,63.5,66,0,14,7.35,33,26.8,50,0
2025-10-04 18:50:53+00:00,0,0,1,0,0,0,0,2,15,24,10,2.064,14.11,27,0,2,63.5,66,0,14,7.35,33,26.8,50,0
2025-10-04 18:50:54+00:00,0,0,1,0,0,0,0,2,15,24,10,2.096,14.109,27,0,1,63.5,66,0,14,7.35,33,26.8,50,0
2025-10-04 18:50:55+00:00,0,0,1,0,0,0,0,2,15,24,10,2.059,14.107,27,0,2,63.5,66,0,14,7.35,33,26.8,50,0
2025-10-04 18:50:56+00:00,0,0,1,0,0,0,0,2,15,24,10,2.074,14.109,27,0,2,63.5,66,0,14,7.35,33,26.8,50,0
2025-10-04 18:50:57+00:00,0,0,1,0,0,0,0,2,15,24,10,2.072,14.106,27,0,2,63.5,66,0,14,7.35,33,26.8,50,0
2025-10-04 18:50:58+00:00,0,0,1,0,0,0,0,2,15,24,10,2.055,14.107,27,0,2,63.5,66,0,14,7.35,33,26.8,50,0
2025-10-04 18:50:59+00:00,0,0,1,0,0,0,0,2,15,24,10,2.087,14.108,27,0,1,63.5,66,0,14,7.35,33,26.8,50,0
2025-10-04 18:51:00+00:00,0,0,1,0,0,0,0,2,15,24,10,2.072,14.106,27,0,2,63.5,66,0,14,7.35,33,26.8,50,0
2025-10-04 18:51:01+00:00,0,0,1,0,0,0,0,2,15,24,10,2.08,14.107,27,0,2,63.5,66,0,14,7.35,33,26.8,50,0
2025-10-04 18:51:02+00:00,0,0,1,0,0,0,0,2,15,24,10,2.056,14.106,27,0,2,63.5,66,0,14,7.35,33,26.8,50,0
2025-10-04 18:51:03+00:00,0,0,1,0,0,0,0,2,15,24,10,2.055,14.106,27,0,2,63.5,66,0,14,7.35,33,26.8,50,0
2025-10-04 18:51:04+00:00,0,0,1,0,0,0,0,2,15,24,10,2.058,14.108,27,0,2,63.5,66,0,14,7.35,33,26.8,50,0
2025-10-04 18:51:05+00:00,0,0,1,0,0,0,0,2,15,24,10,2.079,14.107,27,0,2,63.5,66,0,14,7.35,33,26.8,50,0
2025-10-04 18:51:06+00:00,0,0,1,0,0,0,0,2,15,24,10,2.054,14.107,27,0,2,63.5,66,0,14,7.35,33,26.8,50,0
2025-10-04 18:51:07+00:00,0,0,1,0,0,0,0,2,15,24,10,2.078,14.106,27,0,2,63.5,66,0,14,7.35,33,26.8,50,0
2025-10-04 18:51:08+00:00,0,0,1,0,0,0,0,2,15,24,10,2.086,14.108,27,0,1,63.5,66,0,14,7.35,33,26.8,50,0
2025-10-04 18:51:09+00:00,0,0,1,0,0,0,0,2,15,24,10,2.051,14.107,27,0,1,63.5,66,0,14,7.35,33,26.8,50,0
2025-10-04 18:51:10+00:00,0,0,1,0,0,0,0,2,15,24,10,2.072,14.107,27,0,2,63.5,66,0,14,7.35,33,26.8,50,0
2025-10-04 18:51:11+00:00,0,0,1,0,0,0,0,2,15,24,10,2.064,14.107,27,0,2,63.5,66,0,14,7.35,33,26.8,50,0
2025-10-04 18:51:12+00:00,0,0,1,0,0,0,0,2,15,24,10,2.069,14.106,27,0,1,63.5,66,0,14,7.35,33,26.8,50,0
2025-10-04 18:51:13+00:00,0,0,1,0,0,0,0,2,15,24,10,2.055,14.109,27,0,2,63.5,66,0,14,7.35,33,26.8,50,0
2025-10-04 18:51:14+00:00,0,0,1,0,0,0,0,2,15,24,10,2.032,14.105,27,0,2,63.5,66,0,14,7.35,33,26.8,50,0
2025-10-04 18:51:15+00:00,0,0,1,0,0,0,0,2,15,24,10,2.067,14.105,27,0,2,63.5,66,0,14,7.35,33,26.8,50,0
2025-10-04 18:51:16+00:00,0,0,1,0,0,0,0,2,15,24,10,2.067,14.105,27,0,2,63.5,66,0,14,7.35,33,26.8,50,0
2025-10-04 18:51:17+00:00,0,0,1,0,0,0,0,2,15,24,10,2.052,14.106,27,0,2,63.5,66,0,14,7.35,33,26.8,50,0
2025-10-04 18:51:18+00:00,0,0,1,0,0,0,0,2,15,24,10,2.056,14.107,27,0,2,63.5,66,0,14,7.35,33,26.8,50,0
2025-10-04 18:51:19+00:00,0,0,1,0,0,0,0,2,15,24,10,2.036,14.107,27,0,1,63.5,66,0,14,7.35,33,26.8,50,0
2025-10-04 18:51:20+00:00,0,0,1,0,0,0,0,2,15,24,10,2.039,14.107,27,0,2,63.5,66,0,14,7.35,33,26.8,50,0
2025-10-04 18:51:21+00:00,0,0,1,0,0,0,0,2,15,24,10,2.054,14.105,27,0,2,63.5,66,0,14,7.35,33,26.8,50,0
2025-10-04 18:51:22+00:00,0,0,1,0,0,0,0,2,15,24,10,2.052,14.104,27,0,1,63.5,66,0,14,7.35,33,26.8,50,0
2025-10-04 18:51:23+00:00,0,0,1,0,0,0,0,2,15,24,10,2.042,14.105,27,0,2,63.5,66,0,14,7.35,33,26.8,50,0
